team_id,no,pos,player,age_yrs,caps,goals,club,country,group,WorldCup
6,7,MF,Julian Draxler,24,44,6,Paris Saint-Germain,Germany,F,Men
6,12,GK,Kevin Trapp,27,3,0,Paris Saint-Germain,Germany,F,Men
6,3,DF,Jonas Hector,28,38,3,1. FC Koln,Germany,F,Men
6,20,MF,Julian Brandt,22,16,1,Bayer Leverkusen,Germany,F,Men
6,1,GK,Manuel Neuer (captain),32,76,0,Bayern Munich,Germany,F,Men
6,5,DF,Mats Hummels,29,64,5,Bayern Munich,Germany,F,Men
6,13,MF,Thomas Muller,28,91,38,Bayern Munich,Germany,F,Men
6,15,DF,Niklas Sule,22,11,0,Bayern Munich,Germany,F,Men
6,17,DF,Jerome Boateng,29,71,1,Bayern Munich,Germany,F,Men
6,18,DF,Joshua Kimmich,23,29,3,Bayern Munich,Germany,F,Men
6,19,MF,Sebastian Rudy,28,25,1,Bayern Munich,Germany,F,Men
6,11,FW,Marco Reus,29,31,9,Borussia Dortmund,Germany,F,Men
6,4,DF,Matthias Ginter,24,18,0,Borussia Monchengladbach,Germany,F,Men
6,2,DF,Marvin Plattenhardt,26,6,0,Hertha BSC,Germany,F,Men
6,9,FW,Timo Werner,22,14,8,RB Leipzig,Germany,F,Men
6,14,MF,Leon Goretzka,23,15,6,Schalke 04,Germany,F,Men
6,23,FW,Mario Gomez,32,75,31,VfB Stuttgart,Germany,F,Men
6,6,MF,Sami Khedira,31,75,7,Juventus,Germany,F,Men
6,22,GK,Marc-Andre ter Stegen,26,20,0,Barcelona,Germany,F,Men
6,8,MF,Toni Kroos,28,83,12,Real Madrid,Germany,F,Men
8,16,DF,Nacho Monreal,32,22,1,Arsenal,Spain,B,Men
8,14,DF,Cesar Azpilicueta,28,22,0,Chelsea,Spain,B,Men
8,21,FW,David Silva,32,121,35,Manchester City,Spain,B,Men
8,1,GK,David de Gea,27,29,0,Manchester United,Spain,B,Men
8,10,MF,Thiago,27,29,2,Bayern Munich,Spain,B,Men
8,23,GK,Pepe Reina,35,36,0,Napoli,Spain,B,Men
8,13,GK,Kepa Arrizabalaga,23,1,0,Athletic Bilbao,Spain,B,Men
8,7,MF,Saul,23,10,0,Atletico Madrid,Spain,B,Men
8,8,MF,Koke,26,40,0,Atletico Madrid,Spain,B,Men
8,19,FW,Diego Costa,29,20,7,Atletico Madrid,Spain,B,Men
8,3,DF,Gerard Pique,31,98,5,Barcelona,Spain,B,Men
8,5,MF,Sergio Busquets,29,103,2,Barcelona,Spain,B,Men
8,6,MF,Andres Iniesta,34,127,14,Barcelona,Spain,B,Men
8,18,DF,Jordi Alba,29,62,8,Barcelona,Spain,B,Men
8,17,FW,Iago Aspas,30,10,5,Celta Vigo,Spain,B,Men
8,2,DF,Dani Carvajal,26,15,0,Real Madrid,Spain,B,Men
8,4,DF,Nacho,28,17,0,Real Madrid,Spain,B,Men
8,11,FW,Lucas Vazquez,26,7,0,Real Madrid,Spain,B,Men
8,15,DF,Sergio Ramos (captain),32,152,13,Real Madrid,Spain,B,Men
8,20,MF,Marco Asensio,22,12,0,Real Madrid,Spain,B,Men
8,22,MF,Isco,26,28,10,Real Madrid,Spain,B,Men
8,12,DF,Alvaro Odriozola,22,4,1,Real Sociedad,Spain,B,Men
8,9,FW,Rodrigo,27,6,2,Valencia,Spain,B,Men
9,17,FW,Daniel Arzani,19,2,1,Melbourne City,Australia,C,Men
9,21,FW,Dimitri Petratos,25,2,0,Newcastle Jets,Australia,C,Men
9,19,DF,Josh Risdon,25,8,0,Western Sydney Wanderers,Australia,C,Men
9,18,GK,Danny Vukovic,33,1,0,Genk,Australia,C,Men
9,15,MF,Mile Jedinak (captain),33,76,18,Aston Villa,Australia,C,Men
9,1,GK,Mathew Ryan,26,44,0,Brighton & Hove Albion,Australia,C,Men
9,13,MF,Aaron Mooy,27,34,5,Huddersfield Town,Australia,C,Men
9,22,MF,Jackson Irvine,25,19,2,Hull City,Australia,C,Men
9,3,DF,James Meredith,30,2,0,Millwall,Australia,C,Men
9,4,FW,Tim Cahill,38,106,50,Millwall,Australia,C,Men
9,8,MF,Massimo Luongo,25,36,5,Queens Park Rangers,Australia,C,Men
9,7,FW,Mathew Leckie,27,53,8,Hertha BSC,Australia,C,Men
9,10,FW,Robbie Kruse,29,64,5,VfL Bochum,Australia,C,Men
9,11,FW,Andrew Nabbout,25,4,1,Urawa Red Diamonds,Australia,C,Men
9,2,DF,Milos Degenek,24,18,0,Yokohama F. Marinos,Australia,C,Men
9,12,GK,Brad Jones,36,6,0,Feyenoord,Australia,C,Men
9,5,DF,Mark Milligan,32,71,6,Al Ahli,Australia,C,Men
9,23,MF,Tom Rogic,25,37,7,Celtic,Australia,C,Men
9,14,FW,Jamie Maclaren,24,6,0,Hibernian,Australia,C,Men
9,6,DF,Matthew Jurman,28,4,0,Suwon Samsung Bluewings,Australia,C,Men
9,20,DF,Trent Sainsbury,26,35,3,Grasshopper,Australia,C,Men
9,9,FW,Tomi Juric,26,35,8,Luzern,Australia,C,Men
9,16,DF,Aziz Behich,27,23,2,Bursaspor,Australia,C,Men
10,16,GK,Cassio,31,1,0,Corinthians,Brazil,E,Men
10,22,DF,Fagner,29,4,0,Corinthians,Brazil,E,Men
10,4,DF,Pedro Geromel,32,2,0,Gremio,Brazil,E,Men
10,8,MF,Renato Augusto,30,28,5,Beijing Sinobo Guoan,Brazil,E,Men
10,19,MF,Willian,29,57,8,Chelsea,Brazil,E,Men
10,20,FW,Roberto Firmino,26,21,7,Liverpool,Brazil,E,Men
10,9,FW,Gabriel Jesus,21,17,10,Manchester City,Brazil,E,Men
10,14,DF,Danilo,26,18,0,Manchester City,Brazil,E,Men
10,17,MF,Fernandinho,33,44,2,Manchester City,Brazil,E,Men
10,23,GK,Ederson,24,1,0,Manchester City,Brazil,E,Men
10,2,DF,Thiago Silva,33,71,5,Paris Saint-Germain,Brazil,E,Men
10,10,FW,Neymar,26,85,55,Paris Saint-Germain,Brazil,E,Men
10,13,DF,Marquinhos,24,26,0,Paris Saint-Germain,Brazil,E,Men
10,3,DF,Miranda,33,47,2,Inter Milan,Brazil,E,Men
10,7,FW,Douglas Costa,27,25,3,Juventus,Brazil,E,Men
10,1,GK,Alisson,25,26,0,Roma,Brazil,E,Men
10,6,DF,Filipe Luis,32,33,2,Atletico Madrid,Brazil,E,Men
10,11,MF,Philippe Coutinho,26,37,10,Barcelona,Brazil,E,Men
10,15,MF,Paulinho,29,50,12,Barcelona,Brazil,E,Men
10,5,MF,Casemiro,26,24,0,Real Madrid,Brazil,E,Men
10,12,DF,Marcelo (captain),30,54,6,Real Madrid,Brazil,E,Men
10,18,MF,Fred,25,8,0,Shakhtar Donetsk,Brazil,E,Men
10,21,FW,Taison,30,8,1,Shakhtar Donetsk,Brazil,E,Men
13,22,MF,Cristian Pavon,22,5,0,Boca Juniors,Argentina,D,Men
13,13,MF,Maximiliano Meza,25,2,0,Independiente,Argentina,D,Men
13,12,GK,Franco Armani,31,0,0,River Plate,Argentina,D,Men
13,15,MF,Enzo Perez,32,23,1,River Plate,Argentina,D,Men
13,14,DF,Javier Mascherano,34,143,3,Hebei China Fortune,Argentina,D,Men
13,23,GK,Willy Caballero,36,3,0,Chelsea,Argentina,D,Men
13,17,DF,Nicolas Otamendi,30,54,4,Manchester City,Argentina,D,Men
13,19,FW,Sergio Aguero,30,85,37,Manchester City,Argentina,D,Men
13,16,DF,Marcos Rojo,28,56,2,Manchester United,Argentina,D,Men
13,11,MF,Angel Di María,30,94,19,Paris Saint-Germain,Argentina,D,Men
13,20,MF,Giovani Lo Celso,22,5,0,Paris Saint-Germain,Argentina,D,Men
13,9,FW,Gonzalo Higuain,30,71,31,Juventus,Argentina,D,Men
13,21,FW,Paulo Dybala,24,12,0,Juventus,Argentina,D,Men
13,5,MF,Lucas Biglia,32,57,1,Milan,Argentina,D,Men
13,6,DF,Federico Fazio,31,9,1,Roma,Argentina,D,Men
13,4,DF,Cristian Ansaldi,31,5,0,Torino,Argentina,D,Men
13,1,GK,Nahuel Guzman,32,6,0,UANL,Argentina,D,Men
13,3,DF,Nicolas Tagliafico,25,4,0,Ajax,Argentina,D,Men
13,18,DF,Eduardo Salvio,27,9,0,Benfica,Argentina,D,Men
13,8,DF,Marcos Acuna,26,10,0,Sporting CP,Argentina,D,Men
13,10,FW,Lionel Messi (captain),30,124,64,Barcelona,Argentina,D,Men
13,2,DF,Gabriel Mercado,31,20,3,Sevilla,Argentina,D,Men
13,7,MF,Ever Banega,29,62,6,Sevilla,Argentina,D,Men
14,14,FW,Danny Welbeck,27,39,16,Arsenal,England,G,Men
14,23,GK,Nick Pope,26,1,0,Burnley,England,G,Men
14,15,DF,Gary Cahill,32,60,5,Chelsea,England,G,Men
14,21,MF,Ruben Loftus-Cheek,22,4,0,Crystal Palace,England,G,Men
14,1,GK,Jordan Pickford,24,3,0,Everton,England,G,Men
14,6,DF,Harry Maguire,25,5,0,Leicester City,England,G,Men
14,11,FW,Jamie Vardy,31,22,7,Leicester City,England,G,Men
14,8,MF,Jordan Henderson,27,39,0,Liverpool,England,G,Men
14,22,DF,Trent Alexander-Arnold,19,1,0,Liverpool,England,G,Men
14,2,DF,Kyle Walker,28,35,0,Manchester City,England,G,Men
14,5,DF,John Stones,24,26,0,Manchester City,England,G,Men
14,10,FW,Raheem Sterling,23,38,2,Manchester City,England,G,Men
14,17,DF,Fabian Delph,28,11,0,Manchester City,England,G,Men
14,7,MF,Jesse Lingard,25,12,1,Manchester United,England,G,Men
14,16,DF,Phil Jones,26,25,0,Manchester United,England,G,Men
14,18,DF,Ashley Young,32,34,7,Manchester United,England,G,Men
14,19,FW,Marcus Rashford,20,19,3,Manchester United,England,G,Men
14,13,GK,Jack Butland,25,8,0,Stoke City,England,G,Men
14,3,DF,Danny Rose,27,18,0,Tottenham Hotspur,England,G,Men
14,4,MF,Eric Dier,24,26,3,Tottenham Hotspur,England,G,Men
14,9,FW,Harry Kane (captain),24,24,13,Tottenham Hotspur,England,G,Men
14,12,DF,Kieran Trippier,27,7,0,Tottenham Hotspur,England,G,Men
14,20,MF,Dele Alli,22,25,2,Tottenham Hotspur,England,G,Men
15,9,FW,Shinji Okazaki,32,113,50,Leicester City,Japan,H,Men
15,22,DF,Maya Yoshida,29,82,10,Southampton,Japan,H,Men
15,19,DF,Hiroki Sakai,28,43,0,Marseille,Japan,H,Men
15,1,GK,Eiji Kawashima,35,84,0,Metz,Japan,H,Men
15,15,FW,Yuya Osako,28,29,7,1. FC Koln,Japan,H,Men
15,10,MF,Shinji Kagawa,29,92,30,Borussia Dortmund,Japan,H,Men
15,17,MF,Makoto Hasebe (captain),34,110,2,Eintracht Frankfurt,Japan,H,Men
15,8,MF,Genki Haraguchi,27,33,6,Fortuna Dusseldorf,Japan,H,Men
15,11,MF,Takashi Usami,26,24,3,Fortuna Dusseldorf,Japan,H,Men
15,21,DF,Gotoku Sakai,27,41,0,Hamburger SV,Japan,H,Men
15,13,FW,Yoshinori Muto,25,24,2,Mainz 05,Japan,H,Men
15,16,MF,Hotaru Yamaguchi,27,42,2,Cerezo Osaka,Japan,H,Men
15,12,GK,Masaaki Higashiguchi,32,5,0,Gamba Osaka,Japan,H,Men
15,2,DF,Naomichi Ueda,23,4,0,Kashima Antlers,Japan,H,Men
15,3,DF,Gen Shoji,25,11,1,Kashima Antlers,Japan,H,Men
15,23,GK,Kosuke Nakamura,23,4,0,Kashiwa Reysol,Japan,H,Men
15,18,MF,Ryota Oshima,25,5,0,Kawasaki Frontale,Japan,H,Men
15,6,DF,Wataru Endo,25,12,0,Urawa Red Diamonds,Japan,H,Men
15,20,DF,Tomoaki Makino,31,32,4,Urawa Red Diamonds,Japan,H,Men
15,4,MF,Keisuke Honda,32,95,36,Pachuca,Japan,H,Men
15,14,MF,Takashi Inui,30,27,4,Eibar,Japan,H,Men
15,7,MF,Gaku Shibasaki,26,18,3,Getafe,Japan,H,Men
15,5,DF,Yuto Nagatomo,31,105,3,Galatasaray,Japan,H,Men
22,22,FW,Isaac Kiese Thelin,25,20,2,Waasland-Beveren,Sweden,F,Men
22,1,GK,Robin Olsen,28,18,0,Copenhagen,Sweden,F,Men
22,7,MF,Sebastian Larsson,33,100,6,Hull City,Sweden,F,Men
22,18,DF,Pontus Jansson,27,15,0,Leeds United,Sweden,F,Men
22,3,DF,Victor Lindelof,23,21,1,Manchester United,Sweden,F,Men
22,12,GK,Karl-Johan Johnsson,28,5,0,Guingamp,Sweden,F,Men
22,20,FW,Ola Toivonen,31,59,13,Toulouse,Sweden,F,Men
22,21,MF,Jimmy Durmaz,29,45,3,Toulouse,Sweden,F,Men
22,8,MF,Albin Ekdal,28,34,0,Hamburger SV,Sweden,F,Men
22,10,MF,Emil Forsberg,26,36,6,RB Leipzig,Sweden,F,Men
22,6,DF,Ludwig Augustinsson,24,15,0,Werder Bremen,Sweden,F,Men
22,14,DF,Filip Helander,25,4,0,Bologna,Sweden,F,Men
22,16,DF,Emil Krafth,23,13,0,Bologna,Sweden,F,Men
22,19,MF,Marcus Rohden,27,12,1,Crotone,Sweden,F,Men
22,15,MF,Oscar Hiljemark,25,22,2,Genoa,Sweden,F,Men
22,4,DF,Andreas Granqvist (captain),33,72,6,Krasnodar,Sweden,F,Men
22,17,MF,Viktor Claesson,26,22,3,Krasnodar,Sweden,F,Men
22,2,DF,Mikael Lustig,31,66,6,Celtic,Sweden,F,Men
22,11,FW,John Guidetti,26,20,1,Alaves,Sweden,F,Men
22,9,FW,Marcus Berg,31,57,18,Al Ain,Sweden,F,Men
22,13,MF,Gustav Svensson,31,13,0,Seattle Sounders FC,Sweden,F,Men
22,5,DF,Martin Olsson,30,43,5,Swansea City,Sweden,F,Men
22,23,GK,Kristoffer Nordfeldt,28,8,0,Swansea City,Sweden,F,Men
25,7,DF,Ahmed Fathy,33,126,3,Al Ahly,Egypt,A,Men
25,9,FW,Marwan Mohsen,29,24,4,Al Ahly,Egypt,A,Men
25,12,DF,Ayman Ashraf,27,4,0,Al Ahly,Egypt,A,Men
25,16,GK,Sherif Ekramy,34,22,0,Al Ahly,Egypt,A,Men
25,20,DF,Saad Samir,29,11,0,Al Ahly,Egypt,A,Men
25,23,GK,Mohamed El Shenawy,29,3,0,Al Ahly,Egypt,A,Men
25,8,MF,Tarek Hamed,29,21,0,Zamalek,Egypt,A,Men
25,15,DF,Mahmoud Hamdy,23,0,0,Zamalek,Egypt,A,Men
25,17,MF,Mohamed Elneny,25,61,5,Arsenal,Egypt,A,Men
25,3,DF,Ahmed Elmohamady,30,78,2,Aston Villa,Egypt,A,Men
25,10,FW,Mohamed Salah,25,57,33,Liverpool,Egypt,A,Men
25,14,FW,Ramadan Sobhi,21,23,1,Stoke City,Egypt,A,Men
25,2,DF,Ali Gabr,29,21,1,West Bromwich Albion,Egypt,A,Men
25,6,DF,Ahmed Hegazi,27,45,1,West Bromwich Albion,Egypt,A,Men
25,5,MF,Sam Morsy,26,5,0,Wigan Athletic,Egypt,A,Men
25,19,MF,Abdallah El Said,32,36,6,KuPS,Egypt,A,Men
25,22,FW,Amr Warda,24,16,0,Atromitos,Egypt,A,Men
25,13,DF,Mohamed Abdel Shafy,32,51,1,Al Fateh,Egypt,A,Men
25,18,FW,Shikabala,32,29,2,Al Raed,Egypt,A,Men
25,1,GK,Essam El Hadary (captain),45,158,0,Al Taawoun,Egypt,A,Men
25,11,FW,Kahraba,24,19,3,Al-Ittihad,Egypt,A,Men
25,21,MF,Trezeguet,23,24,2,Kasimpasa,Egypt,A,Men
25,4,MF,Omar Gaber,26,24,0,Los Angeles FC,Egypt,A,Men
26,20,GK,Vladimir Gabulov,34,10,0,Club Brugge,Russia,A,Men
26,5,DF,Andrei Semyonov,29,6,0,Akhmat Grozny,Russia,A,Men
26,22,FW,Artem Dzyuba,29,23,11,Arsenal Tula,Russia,A,Men
26,1,GK,Igor Akinfeev (captain),32,106,0,CSKA Moscow,Russia,A,Men
26,2,DF,Mario Fernandes,27,5,0,CSKA Moscow,Russia,A,Men
26,4,DF,Sergei Ignashevich,38,122,8,CSKA Moscow,Russia,A,Men
26,9,MF,Alan Dzagoev,27,57,9,CSKA Moscow,Russia,A,Men
26,17,MF,Aleksandr Golovin,22,19,2,CSKA Moscow,Russia,A,Men
26,8,MF,Yury Gazinsky,28,6,0,Krasnodar,Russia,A,Men
26,10,FW,Fyodor Smolov,28,32,12,Krasnodar,Russia,A,Men
26,15,MF,Aleksei Miranchuk,22,18,4,Lokomotiv Moscow,Russia,A,Men
26,16,MF,Anton Miranchuk,22,6,0,Lokomotiv Moscow,Russia,A,Men
26,13,DF,Fyodor Kudryashov,31,19,0,Rubin Kazan,Russia,A,Men
26,14,DF,Vladimir Granat,31,12,1,Rubin Kazan,Russia,A,Men
26,3,DF,Ilya Kutepov,24,7,0,Spartak Moscow,Russia,A,Men
26,11,MF,Roman Zobnin,24,12,0,Spartak Moscow,Russia,A,Men
26,19,MF,Aleksandr Samedov,33,48,7,Spartak Moscow,Russia,A,Men
26,7,MF,Daler Kuzyayev,25,6,0,Zenit Saint Petersburg,Russia,A,Men
26,12,GK,Andrey Lunyov,26,3,0,Zenit Saint Petersburg,Russia,A,Men
26,18,MF,Yuri Zhirkov,34,84,2,Zenit Saint Petersburg,Russia,A,Men
26,21,MF,Aleksandr Yerokhin,28,17,0,Zenit Saint Petersburg,Russia,A,Men
26,23,DF,Igor Smolnikov,29,27,0,Zenit Saint Petersburg,Russia,A,Men
26,6,MF,Denis Cheryshev,27,11,0,Villarreal,Russia,A,Men
27,2,DF,Mansoor Al-Harbi,30,40,1,Al Ahli,Saudi Arabia,A,Men
27,16,MF,Housain Al-Mogahwi,30,18,1,Al Ahli,Saudi Arabia,A,Men
27,17,MF,Taisir Al-Jassim,33,132,19,Al Ahli,Saudi Arabia,A,Men
27,20,FW,Muhannad Assiri,31,18,4,Al Ahli,Saudi Arabia,A,Men
27,21,GK,Yasser Al-Mosailem,34,32,0,Al Ahli,Saudi Arabia,A,Men
27,22,GK,Mohammed Al-Owais,26,6,0,Al Ahli,Saudi Arabia,A,Men
27,23,DF,Motaz Hawsawi,26,17,0,Al Ahli,Saudi Arabia,A,Men
27,1,GK,Abdullah Al-Mayouf (captain),31,11,0,Al Hilal,Saudi Arabia,A,Men
27,3,DF,Osama Hawsawi,34,135,7,Al Hilal,Saudi Arabia,A,Men
27,4,DF,Ali Al-Bulaihi,28,4,0,Al Hilal,Saudi Arabia,A,Men
27,6,DF,Mohammed Al-Breik,25,11,1,Al Hilal,Saudi Arabia,A,Men
27,7,MF,Salman Al-Faraj,28,43,3,Al Hilal,Saudi Arabia,A,Men
27,11,MF,Abdulmalek Al-Khaibri,32,36,0,Al Hilal,Saudi Arabia,A,Men
27,12,MF,Mohamed Kanno,23,6,1,Al Hilal,Saudi Arabia,A,Men
27,13,DF,Yasser Al-Shahrani,26,37,0,Al Hilal,Saudi Arabia,A,Men
27,14,MF,Abdullah Otayf,25,16,1,Al Hilal,Saudi Arabia,A,Men
27,5,DF,Omar Hawsawi,32,42,3,Al Nassr,Saudi Arabia,A,Men
27,10,FW,Mohammad Al-Sahlawi,31,40,28,Al Nassr,Saudi Arabia,A,Men
27,9,MF,Hattan Bahebri,25,5,0,Al Shabab,Saudi Arabia,A,Men
27,15,MF,Abdullah Al-Khaibari,21,5,0,Al Shabab,Saudi Arabia,A,Men
27,8,MF,Yahya Al-Shehri,27,57,8,Leganes,Saudi Arabia,A,Men
27,19,FW,Fahad Al-Muwallad,23,45,10,Levante,Saudi Arabia,A,Men
27,18,MF,Salem Al-Dawsari,26,33,4,Villarreal,Saudi Arabia,A,Men
28,8,MF,Nahitan Nandez,22,12,0,Boca Juniors,Uruguay,A,Men
28,12,GK,Martin Campana,29,1,0,Independiente,Uruguay,A,Men
28,13,DF,Gaston Silva,24,17,0,Independiente,Uruguay,A,Men
28,10,FW,Giorgian De Arrascaeta,24,14,2,Cruzeiro,Uruguay,A,Men
28,23,GK,Martin Silva,35,11,0,Vasco da Gama,Uruguay,A,Men
28,21,FW,Edinson Cavani,31,101,42,Paris Saint-Germain,Uruguay,A,Men
28,17,MF,Diego Laxalt,25,6,0,Genoa,Uruguay,A,Men
28,15,MF,Matias Vecino,26,22,1,Inter Milan,Uruguay,A,Men
28,6,MF,Rodrigo Bentancur,20,7,0,Juventus,Uruguay,A,Men
28,22,DF,Martin Caceres,31,76,4,Lazio,Uruguay,A,Men
28,14,MF,Lucas Torreira,22,3,0,Sampdoria,Uruguay,A,Men
28,5,MF,Carlos Sanchez,33,36,1,Monterrey,Uruguay,A,Men
28,20,FW,Jonathan Urretaviscaya,28,4,0,Monterrey,Uruguay,A,Men
28,16,DF,Maxi Pereira,34,125,3,Porto,Uruguay,A,Men
28,19,DF,Sebastian Coates,27,30,1,Sporting CP,Uruguay,A,Men
28,2,DF,Jose Gimenez,23,42,5,Atletico Madrid,Uruguay,A,Men
28,3,DF,Diego Godin (captain),32,116,8,Atletico Madrid,Uruguay,A,Men
28,9,FW,Luis Suarez,31,98,51,Barcelona,Uruguay,A,Men
28,18,FW,Maxi Gomez,21,5,0,Celta Vigo,Uruguay,A,Men
28,11,FW,Cristhian Stuani,31,41,5,Girona,Uruguay,A,Men
28,1,GK,Fernando Muslera,31,97,0,Galatasaray,Uruguay,A,Men
28,4,DF,Guillermo Varela,25,3,0,Penarol,Uruguay,A,Men
28,7,MF,Cristian Rodriguez,32,105,11,Penarol,Uruguay,A,Men
29,23,DF,Ramin Rezaeian,28,28,2,Oostende,Iran,B,Men
29,21,MF,Ashkan Dejagah,31,46,9,Nottingham Forest,Iran,B,Men
29,7,MF,Masoud Shojaei (captain),34,74,8,AEK Athens,Iran,B,Men
29,3,DF,Ehsan Hajsafi,28,94,6,Olympiacos,Iran,B,Men
29,10,FW,Karim Ansarifard,28,64,17,Olympiacos,Iran,B,Men
29,4,DF,Rouzbeh Cheshmi,24,10,1,Esteghlal,Iran,B,Men
29,9,MF,Omid Ebrahimi,30,30,0,Esteghlal,Iran,B,Men
29,15,DF,Pejman Montazeri,34,46,1,Esteghlal,Iran,B,Men
29,19,DF,Majid Hosseini,21,1,0,Esteghlal,Iran,B,Men
29,13,DF,Mohammad Reza Khanzadeh,27,11,1,Padideh,Iran,B,Men
29,1,GK,Alireza Beiranvand,25,22,0,Persepolis,Iran,B,Men
29,11,MF,Vahid Amiri,30,36,1,Persepolis,Iran,B,Men
29,2,MF,Mehdi Torabi,23,17,4,Saipa,Iran,B,Men
29,12,GK,Mohammad Rashid Mazaheri,29,3,0,Zob Ahan,Iran,B,Men
29,18,FW,Alireza Jahanbakhsh,24,38,4,AZ,Iran,B,Men
29,16,FW,Reza Ghoochannejhad,30,43,17,Heerenveen,Iran,B,Men
29,22,GK,Amir Abedzadeh,25,1,0,Maritimo,Iran,B,Men
29,8,DF,Morteza Pouraliganji,26,27,2,Al Sadd,Iran,B,Men
29,17,FW,Mehdi Taremi,25,26,11,Al-Gharafa,Iran,B,Men
29,5,DF,Milad Mohammadi,24,19,0,Akhmat Grozny,Iran,B,Men
29,6,MF,Saeid Ezatolahi,21,25,1,Amkar Perm,Iran,B,Men
29,20,FW,Sardar Azmoun,23,33,23,Rubin Kazan,Iran,B,Men
29,14,FW,Saman Ghoddos,24,8,1,Ostersund,Iran,B,Men
30,23,MF,Mehdi Carcela,28,20,1,Standard Liege,Morocco,B,Men
30,6,DF,Romain Saiss,28,24,1,Wolverhampton Wanderers,Morocco,B,Men
30,15,MF,Youssef Ait Bennasser,21,14,0,Caen,Morocco,B,Men
30,3,DF,Hamza Mendyl,20,13,0,Lille,Morocco,B,Men
30,20,FW,Aziz Bouhaddouz,31,15,3,FC St. Pauli,Morocco,B,Men
30,18,MF,Amine Harit,20,6,0,Schalke 04,Morocco,B,Men
30,5,DF,Medhi Benatia (captain),31,57,2,Juventus,Morocco,B,Men
30,22,GK,Ahmed Reda Tagnaouti,22,2,0,IR Tanger,Morocco,B,Men
30,9,FW,Ayoub El Kaabi,24,10,11,RS Berkane,Morocco,B,Men
30,7,MF,Hakim Ziyech,25,18,9,Ajax,Morocco,B,Men
30,8,MF,Karim El Ahmadi,33,51,1,Feyenoord,Morocco,B,Men
30,21,MF,Sofyan Amrabat,21,6,0,Feyenoord,Morocco,B,Men
30,11,MF,Faycal Fajr,29,23,2,Getafe,Morocco,B,Men
30,1,GK,Yassine Bounou,27,11,0,Girona,Morocco,B,Men
30,16,MF,Nordin Amrabat,31,44,4,Leganes,Morocco,B,Men
30,19,FW,Youssef En-Nesyri,21,16,2,Malaga,Morocco,B,Men
30,12,GK,Munir Mohamedi,29,27,0,Numancia,Morocco,B,Men
30,2,DF,Achraf Hakimi,19,10,1,Real Madrid,Morocco,B,Men
30,17,DF,Nabil Dirar,32,34,3,Fenerbahce,Morocco,B,Men
30,10,MF,Younes Belhanda,28,47,5,Galatasaray,Morocco,B,Men
30,4,DF,Manuel da Costa,32,28,1,Istanbul Basaksehir,Morocco,B,Men
30,13,FW,Khalid Boutaib,31,18,7,Yeni Malatyaspor,Morocco,B,Men
30,14,MF,Mbark Boussoufa,33,59,7,Al Jazira,Morocco,B,Men
31,6,DF,Jose Fonte,34,31,0,Dalian Yifang,Portugal,B,Men
31,23,MF,Adrien Silva,29,23,1,Leicester City,Portugal,B,Men
31,11,MF,Bernardo Silva,23,25,2,Manchester City,Portugal,B,Men
31,21,DF,Cedric,26,29,1,Southampton,Portugal,B,Men
31,10,MF,Joao Mario,25,36,2,West Ham United,Portugal,B,Men
31,12,GK,Anthony Lopes,27,7,0,Lyon,Portugal,B,Men
31,8,MF,Joao Moutinho,31,110,7,Monaco,Portugal,B,Men
31,5,DF,Raphael Guerreiro,24,24,2,Borussia Dortmund,Portugal,B,Men
31,9,FW,Andre Silva,22,23,12,Milan,Portugal,B,Men
31,19,DF,Mario Rui,27,4,0,Napoli,Portugal,B,Men
31,13,DF,Ruben Dias,21,1,0,Benfica,Portugal,B,Men
31,15,DF,Ricardo Pereira,24,4,0,Porto,Portugal,B,Men
31,1,GK,Rui Patricio,30,69,0,Sporting CP,Portugal,B,Men
31,14,MF,William Carvalho,26,43,2,Sporting CP,Portugal,B,Men
31,16,MF,Bruno Fernandes,23,6,1,Sporting CP,Portugal,B,Men
31,18,FW,Gelson Martins,23,18,0,Sporting CP,Portugal,B,Men
